lambda,unlabeled_per_batch,batch_size,train_overall_acc,train_overall_unique,test_overall_acc,test_containment,test_overall_rank,test_overall_unique,test_unique_q0,test_unique_q25,test_unique_q50,test_unique_q75,test_unique_q100,test_accuracy_q0,test_accuracy_q25,test_accuracy_q50,test_accuracy_q75,test_accuracy_q100
0.01,15,150,1.0,1.0,0.142,0.149,1.057,1.091,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.2,0.778
0.02,15,150,1.0,1.0,0.131,0.136,1.083,1.084,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.182,0.778
0.05,15,150,1.0,1.0,0.104,0.111,1.063,1.093,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.889
0.1,15,150,0.999,1.01,0.041,0.052,1.524,1.382,1.0,1.0,1.188,1.625,3.333,0.0,0.0,0.0,0.0,0.857
0.2,15,150,0.879,1.537,0.025,0.071,2.293,3.145,1.0,1.633,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.571
0.3,15,150,0.836,1.783,0.031,0.078,2.123,3.551,1.0,1.6,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.5
0.5,15,150,0.656,2.586,0.032,0.088,2.549,3.962,1.0,2.0,2.5,3.0,5.0,0.0,0.0,0.0,0.0,0.571
0.7,15,150,0.501,3.341,0.036,0.106,2.41,4.227,1.0,1.5,2.25,3.0,5.0,0.0,0.0,0.0,0.0,0.75
1.0,15,150,0.379,4.06,0.021,0.104,2.638,4.33,1.0,1.667,2.45,3.542,5.0,0.0,0.0,0.0,0.0,0.429
2.0,15,150,0.331,4.369,0.024,0.113,2.841,4.457,1.0,1.833,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.5
